City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,singapur,1.2897,103.8501,34.5,68,75,5.14,SG,1693121089
316,ancud,-41.8697,-73.8203,5.54,86,63,4.43,CL,1693121177
317,la passe,45.5549,-0.8967,15.55,78,1,4.8,FR,1693121177
318,hobyo,5.3505,48.5268,28.66,61,100,10.73,SO,1693121177
319,la ronge,55.1001,-105.2842,17.14,72,20,2.57,CA,1693121178
320,manacapuru,-3.2997,-60.6206,24.47,66,0,1.86,BR,1693121178
321,howrah,22.5892,88.3103,34.0,62,75,3.09,IN,1693121179
322,bogorodsk,56.1033,43.5158,13.64,72,100,4.59,RU,1693121046
323,bratsk,56.1325,101.6142,18.27,77,92,1.12,RU,1693121063
324,kawalu,-7.3817,108.2082,27.0,59,88,3.15,ID,1693121180
325,narasaraopet,16.25,80.0667,34.83,46,100,4.89,IN,1693121180
326,juli,-16.2167,-69.45,3.09,48,6,1.85,PE,1693121180
327,okha,53.5739,142.9478,16.74,58,100,2.31,RU,1693121181
328,shanhecun,44.7,127.2,21.65,69,41,2.25,CN,1693121181
329,tomatlan,19.9333,-105.25,24.06,96,100,1.31,MX,1693121181
330,kristiansund,63.1115,7.732,16.36,72,100,1.03,NO,1693121182
331,kota bharu,6.1333,102.2386,33.41,66,20,3.6,MY,1693121182
332,puerto baquerizo moreno,-0.9,-89.6,23.36,80,60,5.56,EC,1693121182
333,chibougamau,49.9168,-74.3659,6.79,87,0,2.57,CA,1693121183
334,al abyar,32.19,20.5965,27.1,56,0,3.93,LY,1693121183
335,kyshtovka,56.555,76.6271,18.2,61,100,1.84,RU,1693121184
336,macae,-22.3708,-41.7869,17.59,92,100,4.55,BR,1693121184
337,latakia,35.5148,35.7768,30.1,76,100,6.52,SY,1693121184
338,kujama,10.4542,7.6368,21.61,94,100,0.66,NG,1693121184
339,chukhloma,58.7525,42.6825,12.09,68,100,5.28,RU,1693121185
340,northam,51.0333,-4.2167,16.28,84,100,6.35,GB,1693121185
341,forster,-32.1667,152.5167,16.88,74,86,3.8,AU,1693121186
342,mitu,1.1983,-70.1733,22.36,95,1,0.82,CO,1693121186
343,baruun-urt,46.6806,113.2792,21.25,39,100,5.81,MN,1693121187
344,sao gabriel da cachoeira,-0.1303,-67.0892,23.59,83,20,0.22,BR,1693121187
345,tabuk,17.4189,121.4443,25.18,89,100,6.25,PH,1693121187
346,barreirinha,-2.7933,-57.07,23.51,70,1,1.28,BR,1693121188
347,rajgarh,28.6333,75.3833,37.24,31,41,6.14,IN,1693121188
348,sisimiut,66.9395,-53.6735,5.12,89,99,10.59,GL,1693121189
349,bouar,5.934,15.596,18.58,98,100,3.16,CF,1693121189
350,panama city beach,30.1766,-85.8055,28.38,89,0,0.0,US,1693121189
351,conduaga,8.862,117.4893,28.23,83,88,5.46,PH,1693121190
352,leongatha,-38.4833,145.95,14.69,66,94,1.94,AU,1693121190
353,itoman,26.1247,127.6694,33.21,69,40,4.12,JP,1693121191
354,novovarshavka,54.1721,74.6946,23.29,36,100,2.92,RU,1693121191
355,ola,59.5833,151.2833,16.75,79,97,2.1,RU,1693121191
356,mombetsu,44.3525,143.3525,25.01,78,75,4.63,JP,1693121192
357,simanggang,1.2472,111.4528,26.99,89,40,0.0,MY,1693121192
358,temiskaming shores,47.4938,-79.7153,4.89,84,0,1.75,CA,1693121192
359,kingston,17.997,-76.7936,28.53,88,40,2.06,JM,1693120922
360,vilyuysk,63.7553,121.6247,26.35,32,6,2.59,RU,1693121193
361,boca do acre,-8.7522,-67.3978,23.92,67,0,0.7,BR,1693121193
362,gariaband,20.635,82.0614,31.88,56,43,4.62,IN,1693121194
